BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
10000000;BBk Berlin;MARKDEF1100;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Bundesbank;;;;;
10010010;Postbank Berlin;PBNKDEFFXXX;;https://hbci.postbank.de/banking/hbci.do;3.0;;ja;;;;;;;;;;;;;;Kontonummer;iTAN:mobileTAN~:HHD1.3.2~:HHD1.3.2OPT~:HHD1.4~:HHD1.4OPT~:BestSign~;;;Postbank;;;;;PoBa
10010111;SEB Berlin;ESSEDE5F100;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
10010424;Aareal Bank;AARBDE5W100;;;;;;;;;;;;;;;;;;;;;;;Aareal Bank;;;;;
10011001;N26 Bank Berlin;NTSBDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;N26 Bank;;;;;N26
10019610;Dexia Berlin;DXIADEBBXXX;;;;;;;;;;;;;;;;;;;;;;;Dexia Kommunalbank Deutschland;;;;;
10020200;BHF-BANK Berlin;BHFBDEFF100;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#5 - 1.4:CR#6 - 1.4;;;BHF-BANK;;;;;
10020500;Bank für Sozialwirtschaft;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020510;Sozialbank Berlin;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020520;Sozialbank Berlin;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020890;UniCredit Bank-HypoVereinbk;HYVEDEMM488;hbci.hypovereinsbank.de;https://hbci-01.hypovereinsbank.de/bank/hbci;3.0;;ja;;;ja;;ja;;ja;;;;ja;ja;;Direct B@nking-Nummer;CR#1;70020270;;UniCredit Bank - HypoVereinsbank;;;ja;ja;Hypo
10030200;Berlin Hyp;BHYPDEB2XXX;;;;;;;;;;;;;;;;;;;;;;;Berlin Hyp;;;;;
10030400;ABK Bank Berlin;ABKBDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;ABK Allgemeine Beamten Bank;;;;;
10030500;Bankhaus Löbbecke Berlin;LOEBDEBBXXX;loebbecke-bank.de;https://loebbecke-bank.de/fints/;3.0;;ja;;;ja;ja;ja;;ja;;;ja;ja;ja;Kunden-ID;Benutzerkennung;eTAN:iTAN:mTAN~;;;Bankhaus Löbbecke;;;;;Loebbecke
